filename,time_start,time_end,speaker,sentence_id,text,translation,word_forms,morphonology,gloss,language,dataset_creator,dataset_provider
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,4.27,8.01,tab1932_f,1,"
[tab1932_f] Игры, вот это, которые, вот что, нып.","
[tab1932_f] Игры, которые называются нып.",[tab1932_f],NA,NA,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,4.27,8.01,tab1932_f,1,"
[tab1932_f] Игры, вот это, которые, вот что, нып.","
[tab1932_f] Игры, которые называются нып.",игры,игры,"игры,",abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,4.27,8.01,tab1932_f,1,"
[tab1932_f] Игры, вот это, которые, вот что, нып.","
[tab1932_f] Игры, которые называются нып.",",",NA,NA,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,4.27,8.01,tab1932_f,1,"
[tab1932_f] Игры, вот это, которые, вот что, нып.","
[tab1932_f] Игры, которые называются нып.",вот,вoт,вот,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,4.27,8.01,tab1932_f,1,"
[tab1932_f] Игры, вот это, которые, вот что, нып.","
[tab1932_f] Игры, которые называются нып.",это,эты,"это,",abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,4.27,8.01,tab1932_f,1,"
[tab1932_f] Игры, вот это, которые, вот что, нып.","
[tab1932_f] Игры, которые называются нып.",",",NA,NA,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,4.27,8.01,tab1932_f,1,"
[tab1932_f] Игры, вот это, которые, вот что, нып.","
[tab1932_f] Игры, которые называются нып.",которые,которые,"которые,",abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,4.27,8.01,tab1932_f,1,"
[tab1932_f] Игры, вот это, которые, вот что, нып.","
[tab1932_f] Игры, которые называются нып.",",",NA,NA,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,4.27,8.01,tab1932_f,1,"
[tab1932_f] Игры, вот это, которые, вот что, нып.","
[tab1932_f] Игры, которые называются нып.",вот,вoт,вот,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,4.27,8.01,tab1932_f,1,"
[tab1932_f] Игры, вот это, которые, вот что, нып.","
[tab1932_f] Игры, которые называются нып.",что,чтo,"что,",abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,4.27,8.01,tab1932_f,1,"
[tab1932_f] Игры, вот это, которые, вот что, нып.","
[tab1932_f] Игры, которые называются нып.",",",NA,NA,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,4.27,8.01,tab1932_f,1,"
[tab1932_f] Игры, вот это, которые, вот что, нып.","
[tab1932_f] Игры, которые называются нып.",нып,нып,нып,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,4.27,8.01,tab1932_f,1,"
[tab1932_f] Игры, вот это, которые, вот что, нып.","
[tab1932_f] Игры, которые называются нып.",.,NA,NA,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",я,я,я,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",заказала,заказала,заказала,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",шест,шест,"шест,",abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",",",NA,NA,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",такой,такой,такой,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",столба,столбА,"столба,",abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",",",NA,NA,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",и,и,и,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",вокруг,вокруг,вокруг,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",араса,арАса,таким.образом,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",йхъынхIвата,й-хъын-хӏвА-та,3pl.abs-loc-вертеться-adv,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",йамата,й-й-А-ма-та,3pl.abs-3pl.io-dat-иметь-adv,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",",",NA,NA,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",ауаъа,ауА-ъа,dist-loc,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",цIис,цӏИс,скворец,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",сурат,сурАт,картинка,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",",",NA,NA,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",хIвыхIв,хӏвЫхӏв,голубь,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",сурат,сурАт,картинка,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",",",NA,NA,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",къанджьа,къАнджьа,ворона,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",сурат,сурАт,картинка,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",",",NA,NA,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",ла,ла,собака,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",сурат,сурАт,картинка,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",",",NA,NA,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",амшIы,а-мшӏЫ,def-дерево,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",йгIалхта,й-гӏА-лх-та,3n.abs-csl-вытащить-adv,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",",",NA,NA,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",спахIба,с-пА-хӏба,1sg.io-сын-старший,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",сторожевой,сторожевОй,сторожевой,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",аложкаква,а-лОжка-ква,def-ложка-pl,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",ъарчпуз,ъа-р-чп-у-з,rel.loc-3pl.erg-делать-ipf-pst.nfin,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",апны,а-пнЫ,3n.io-в,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",дынхун,ды-н-х-у-н,3h.abs-loc-работать-ipf-dcl,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,8.26,33.34,tab1932_f,2,"Я заказала шест, такой столба, и вокруг араса йхъынхIвата йамата, ауаъа цIис сурат, хIвыхIв сурат, къанджьа сурат, ла сурат, амшIы йгIалхта, спахIба сторожевой аложкаква ъарчпуз апны дынхун.","Я заказала шест, это столб, на котором крутятся изображения скворца, голубя, вороны, собаки, сделаны из дерева: мой старший сын работал в сторожевой, где делали ложки.",.,NA,NA,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,33.39,43.24,tab1932_f,3,"Лична са ссчетла сцан ауаъа, йысрычпан, йгIазгын, анып ашест анса йгылу йацрахIвата, йкIнахIан, ауыла йхъвмаруан.","Лично, за мой счет, я поехала туда, он мне сделал, я привезла, повесили на шест ныпа, который стоял там, и ими играли.",лична,лична,лично,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,33.39,43.24,tab1932_f,3,"Лична са ссчетла сцан ауаъа, йысрычпан, йгIазгын, анып ашест анса йгылу йацрахIвата, йкIнахIан, ауыла йхъвмаруан.","Лично, за мой счет, я поехала туда, он мне сделал, я привезла, повесили на шест ныпа, который стоял там, и ими играли.",са,са,я,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,33.39,43.24,tab1932_f,3,"Лична са ссчетла сцан ауаъа, йысрычпан, йгIазгын, анып ашест анса йгылу йацрахIвата, йкIнахIан, ауыла йхъвмаруан.","Лично, за мой счет, я поехала туда, он мне сделал, я привезла, повесили на шест ныпа, который стоял там, и ими играли.",ссчетла,с-счЕт-ла,1sg.io-счет-ins,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
2018.07.16_BidzhevaTA_1932_igry_bakhsyme-0-0.mp4,33.39,43.24,tab1932_f,3,"Лична са ссчетла сцан ауаъа, йысрычпан, йгIазгын, анып ашест анса йгылу йацрахIвата, йкIнахIан, ауыла йхъвмаруан.","Лично, за мой счет, я поехала туда, он мне сделал, я привезла, повесили на шест ныпа, который стоял там, и ими играли.",сцан,с-ца-н,1sg.abs-идти-dcl,abaz1241,"Anastasia Panova, Anna Sorokina, Peter Arkadiev, Elena Sokur",George Moroz
